,ghi_mean,ghi_std,ghi_max,ghi_cv,pv_energy_kwh,pv_peak_kw,load_mean_kw,load_energy_kwh,bess_dis_energy_kwh,bess_ch_energy_kwh,grid_imp_energy_kwh,grid_exp_energy_kwh,temp_mean_c,temp_max_c,day_type
2024-10-07,519.6060204081632,274.50130946623307,927.75,0.5282873921487776,1161.9325898885763,190.16220092773665,170.71958797866023,2091.314952738587,0.0,0.0,931.7116953929265,2.0624505678812666,32.72551020408163,37.07,clear
2024-10-08,570.9645918367347,335.46315299955506,1017.22,0.5875375772784864,1204.2390120737261,188.33195495605332,182.37333681480027,2234.0733759813033,0.0,0.0,1030.072430928549,0.0,32.89295918367347,36.88,high_variability
2024-10-09,627.8555102040817,333.9202713757759,1026.18,0.5318425433062404,1448.4829135934488,189.00394185384337,172.4939885142508,2113.0513592995717,0.0,0.0,665.0279884338373,0.2524360020955417,32.64938775510204,37.05,clear
2024-10-10,635.6607142857143,338.40625254063167,1037.93,0.5323693047806098,1500.965749238931,199.6006876627633,159.55475351498248,1954.545730558535,0.0,0.0,462.3000785261394,8.502568840980542,31.753469387755104,35.77,clear
2024-10-11,517.3930882352942,310.70487960023587,945.92,0.600519965699536,1361.787888211511,206.46640523274667,130.01647005848648,1657.7099932457027,0.0,0.0,405.21191826462774,108.92219288647182,29.4078431372549,34.39,high_variability
2024-10-12,501.33411764705886,304.90970972110074,925.42,0.6081966077875398,1215.6737363338473,210.1384785970033,42.689647926492455,544.2930110627786,0.0,0.0,114.29975574711963,785.2786911021315,28.802647058823528,32.68,high_variability
2024-10-13,559.608431372549,342.72722193566744,1013.4,0.6124411333386488,1422.1502715262277,192.57611592610667,49.8464698358104,635.5424904065826,0.0,0.0,121.90156825383495,909.0578670302959,31.14436274509804,36.34,high_variability
2024-10-14,513.7585294117647,330.77803668781286,996.45,0.6438395038745967,874.0491306235393,205.93193562825664,164.5329747067559,2097.795427511138,0.0,0.0,1224.2527276674946,0.0,33.91264705882353,37.5,high_variability
2024-10-15,498.71245098039213,313.25172243600286,957.05,0.6281209178158635,1055.337847203017,189.60370381673,201.23079386002914,2565.6926217153714,0.0,0.0,1510.8987496693942,0.0,35.76068627450981,39.53,high_variability
2024-10-16,530.3635784313725,304.56119749660115,954.15,0.5742498351741748,1280.4004090776023,188.99183146158663,227.4160949207986,2899.5552102401816,0.0,0.0,1619.680293083191,0.0,36.52348039215686,40.65,high_variability
2024-10-17,434.0730882352941,251.67023039961853,779.0,0.5797876837349517,1152.8275268673874,188.18470255533663,209.51194147268907,2671.277253776785,0.0,0.0,1519.0981378555314,0.0,36.192499999999995,39.58,high_variability
2024-10-18,574.4992156862745,343.63990053924556,1028.53,0.5981555608021963,1375.4352086111855,186.07958475748669,170.4105790923622,2172.734883427618,0.0,0.0,797.7912129561096,0.0,32.089999999999996,35.73,high_variability
2024-10-19,611.3683333333333,352.85600161987713,1040.75,0.5771577989589644,1473.9492450108096,196.67524210612,45.19166991698977,576.1937914416194,0.0,0.0,115.85637038946155,1013.3160879810641,30.704607843137254,35.13,high_variability
2024-10-20,627.4307352941177,350.0906826456875,1056.72,0.5579750288796058,1482.8881266613798,195.01436360677,53.51659052424569,682.3365291841326,0.0,0.0,87.48749079182743,887.7408729555698,31.620686274509804,36.46,partly_variable
2024-10-21,644.8379901960785,356.32831519717155,1077.57,0.5525857976959786,1492.0450781981142,196.16434733073,202.72662201231597,2584.764430657029,0.0,0.0,1092.9969131151834,0.0,32.64700980392157,37.54,partly_variable
2024-10-22,667.2165686274509,363.3688819574266,1106.72,0.5446041046386519,1505.1803430120121,199.98661295573,187.39526679176893,2389.2896515950542,0.0,0.0,884.4023857116699,0.0,33.33862745098039,38.06,partly_variable
2024-10-23,653.9060294117646,359.09157106446276,1089.8,0.5491485854435253,1511.322365413102,202.85212707519335,173.6927705963257,2214.5828251031526,0.0,0.0,705.2376096869509,1.7179561754067834,30.56436274509804,35.6,partly_variable
2024-10-24,412.35068627450977,243.8580972769197,815.7,0.5913852101960093,1103.0388708834857,207.34737650553333,149.8373538070642,1910.426261040069,0.0,0.0,809.7073375632364,2.007818212111783,29.25176470588235,33.48,high_variability
2024-10-25,642.841225490196,354.9938659527699,1070.82,0.55222635368799,1525.2730360838268,199.98139953613335,120.33864493551218,1534.3177229277806,0.0,0.0,195.75261310239623,186.4678873022396,28.647254901960785,33.67,partly_variable
2024-10-26,659.98,359.3859479351551,1094.45,0.5445406647703797,1495.860889005161,192.11205546061333,46.04291533547286,587.047170527279,0.0,0.0,92.19824884831893,1000.7743147710946,31.57828431372549,36.93,partly_variable
2024-10-27,401.3175980392157,251.78604864396314,829.12,0.6273984741116667,797.3873349055638,210.3518727620433,45.273095710117836,577.2319703040025,0.0,0.0,163.9412066936495,389.1734517415365,30.059754901960783,34.38,high_variability
2024-10-28,647.8084313725491,355.99117440147324,1079.0,0.5495315546406433,1519.6732458571576,201.6036936442067,172.40525895766157,2198.167051710185,0.0,0.0,678.7210013866423,0.0,31.815098039215684,35.78,partly_variable
2024-10-29,536.116568627451,352.24320529641204,1048.97,0.6570272696443874,1216.2261015499664,201.57671101888,163.51446204549745,2084.8093910800926,0.0,0.0,874.7617927789707,5.904952685038225,30.943921568627452,35.17,high_variability
2024-10-30,589.5267156862745,354.21226268033485,1062.72,0.6008417485677344,1363.7630119423072,190.0027364095033,179.69597416843484,2291.123670647544,0.0,0.0,927.6887120405839,0.0,33.09166666666667,36.87,high_variability
2024-10-31,553.2951470588235,329.9530162289821,1001.85,0.5963417860845672,1158.465300872923,183.43875122070668,174.61569300079645,2226.3500857601543,0.0,0.0,1070.000201066336,1.8284196456273225,34.079362745098045,38.13,high_variability
2024-11-01,622.2569117647059,360.160513726376,1078.95,0.5787971285123523,1445.9849338481838,196.46934000651,182.11893323511882,2322.0163987477645,0.0,0.0,876.2795416514089,0.0,34.85553921568627,38.85,high_variability
2024-11-02,649.585294117647,356.99036552918585,1085.75,0.5495665754165474,1460.95420878132,191.12501525879,54.861151327884244,699.479679430524,0.0,0.0,119.66812132795658,880.9809056520464,35.78156862745098,40.21,partly_variable
2024-11-03,589.4558823529412,344.9863956407642,1039.62,0.5852624529993256,1220.4887917538517,175.85219319661334,64.46903985427089,821.9802581419539,0.0,0.0,141.5423472325007,540.1768287867294,35.615539215686276,38.9,high_variability
2024-11-04,322.4291037735849,172.84730195966094,535.05,0.5360784741101944,519.0864933927855,115.99854532877669,185.89957526382392,2463.169372245667,0.0,0.0,1945.1260395050074,0.0,33.84721698113208,37.11,clear
2024-11-05,527.0068396226415,319.1408291285576,926.05,0.6055724615587069,1242.4121752058477,184.78116861979333,218.94986364432842,2901.0856932873517,0.0,0.0,1659.2329829533849,0.0,37.44334905660377,41.9,high_variability
2024-11-06,252.01533018867926,165.63976750350398,540.22,0.6572606808462504,739.9572526365548,178.63971455892,200.05533525928772,2650.733192185561,0.0,0.0,1911.4592887560534,0.0,38.015188679245284,42.1,high_variability
2024-11-07,262.77004716981133,148.51766722434795,508.98,0.5652001391481677,654.6472720652805,135.96179453532,164.64163467316118,2181.5016594193858,0.0,0.0,1528.001573880515,0.0,35.91731132075472,40.32,high_variability
2024-11-08,570.012358490566,371.45799277670136,1084.22,0.6516665599327514,1317.190961514911,184.83076985677,150.18927003656447,1990.0078279844793,0.0,0.0,673.4402727655447,0.0,34.90481132075472,39.84,high_variability
